Vehicle,Route,B,Day,StopNo,MainLocation,SecondaryLocation,Postcode,Freq,Easting,Northing,Arrive,Depart,stop duration,Stop Time,Stop Time (dec),Travel time
HMOB,H23,2nd & 4th,Tuesday,7,Over,Hilton Street,CB24 5PU,twice monthly,537582.8,270207.88,15:40:00,16:30:00,00:50:00,00:50:00,0.83,00:10:00
HMOB,H24,4th,Wednesday,1,Ellington,Mermaid Pub,PE28 0AD,monthly,518035,271826,10:00:00,10:30:00,00:30:00,00:30:00,0.50,17:30:00
HMOB,H24,4th,Wednesday,2,Grafham,Breach Road,PE28 0BA,monthly,516146.31,269220.2,10:40:00,11:05:00,00:25:00,00:25:00,0.42,00:10:00
HMOB,H24,4th,Wednesday,3,Perry,Chichester Way,PE28 0BS,monthly,514860.65,266915.17,11:15:00,12:05:00,00:50:00,00:50:00,0.83,00:10:00
HMOB,H24,4th,Wednesday,4,Hail Weston,Orchard Close,PE19 5LF,monthly,516450,262264,12:25:00,12:45:00,00:20:00,00:20:00,0.33,00:20:00
HMOB,H24,4th,Wednesday,5,Great Staughton,The Causeway,PE19 4DA,monthly,512980.44,264626.29,14:00:00,14:30:00,00:30:00,00:30:00,0.50,01:15:00
HMOB,H24,2nd & 4th,Wednesday,6,Kimbolton,Stow Road (Newtown),PE28 0HX,twice monthly,509804,268416,14:45:00,16:00:00,01:15:00,01:15:00,1.25,00:15:00
HMOB,H24,2nd & 4th,Wednesday,7,Kimbolton,Castle Gardens,PE28 0JF,twice monthly,509658.85,267965.24,16:15:00,16:50:00,00:35:00,00:35:00,0.58,00:15:00
HMOB,H25,4th,Thursday,1,Godmanchester,Old Court Hall,PE29 2HA,monthly,524502.15,270320.72,10:00:00,10:20:00,00:20:00,00:20:00,0.33,17:10:00
HMOB,H25,4th,Thursday,2,Godmanchester,"Oaktree Court, West St.",PE29 2LZ,monthly,524287.03,270296.58,10:30:00,10:55:00,00:25:00,00:25:00,0.42,00:10:00
HMOB,H25,4th,Thursday,3,Swavesey,Thistle Green,CB24 4SA,monthly,536149.97,268639.25,11:20:00,11:50:00,00:30:00,00:30:00,0.50,00:25:00
HMOB,H25,4th,Thursday,4,Longstanton,The Dale,CB24 3DH,monthly,539770.02,266492.71,12:00:00,12:20:00,00:20:00,00:20:00,0.33,00:10:00
HMOB,H25,4th,Thursday,5,Longstanton,Prentice Close,CB24 3DY,monthly,539652.11,266797.22,12:25:00,12:50:00,00:25:00,00:25:00,0.42,00:05:00
HMOB,H25,4th,Thursday,6,Lolworth,The Green,CB23 8HH,monthly,536679.76,264100.68,14:20:00,14:50:00,00:30:00,00:30:00,0.50,01:30:00
HMOB,H25,2nd & 4th,Thursday,7,Fenstanton,"Headlands, Tythe Piece.",PE28 9LR,twice monthly,532174,268312,15:15:00,15:45:00,00:30:00,00:30:00,0.50,00:25:00
HMOB,H25,2nd & 4th,Thursday,8,Fenstanton,Chapel Green,PE28 9JQ,twice monthly,531810,268761,15:50:00,16:20:00,00:30:00,00:30:00,0.50,00:05:00
MMOB,M2,1st,Tuesday,1,March,Elliott Lodge,PE15 8BP,monthly,540551.2,297187,09:45:00,10:10:00,00:25:00,00:25:00,0.42,17:25:00
MMOB,M2,1st,Tuesday,2,March,Shaftesbury Court,PE15 9DG,monthly,542191.52,296123.21,10:20:00,10:50:00,00:30:00,00:30:00,0.50,00:10:00
MMOB,M2,1st,Tuesday,3,March,Upwell Park,PE15 0DR,monthly,542836.69,296047.75,10:55:00,11:15:00,00:20:00,00:20:00,0.33,00:05:00
MMOB,M2,1st,Tuesday,4,March,Fleming Court,PE15 9BH,monthly,542515.43,296484.44,11:30:00,11:45:00,00:15:00,00:15:00,0.25,00:15:00
MMOB,M2,1st,Tuesday,5,Christchurch,Lay-by,SG8 7NT,monthly,549380.14,296648.32,12:15:00,12:45:00,00:30:00,00:30:00,0.50,00:30:00
MMOB,M2,1st,Tuesday,6,Manea,Festival Close,PE15 0HD,monthly,548066.17,289892.97,14:00:00,14:25:00,00:25:00,00:25:00,0.42,01:15:00
MMOB,M2,1st,Tuesday,7,Manea,Station Road,PE15 0HJ,monthly,547967.81,289773.74,14:30:00,15:40:00,01:10:00,01:10:00,1.17,00:05:00
MMOB,M2,1st,Tuesday,8,Manea,High Street,PE15 0JA,monthly,548015.91,289445.05,15:45:00,16:15:00,00:30:00,00:30:00,0.50,00:05:00
MMOB,M3,1st,Wednesday,1,Haddenham,Camping Close,CB6 3UA,monthly,546453,275141.57,10:15:00,11:30:00,01:15:00,01:15:00,1.25,18:00:00
MMOB,M3,1st,Wednesday,2,Aldreth,High Street,CB6 3PQ,monthly,544548.53,273420.75,11:40:00,12:00:00,00:20:00,00:20:00,0.33,00:10:00
MMOB,M3,1st,Wednesday,3,Wilburton,Littlefield Close,CB6 3RU,monthly,548412.3,275342.9,12:15:00,13:00:00,00:45:00,00:45:00,0.75,00:15:00
MMOB,M3,1st,Wednesday,4,Stretham,Cambridge Road,CB6 3LW,monthly,550809.75,274323.2,13:30:00,13:45:00,00:15:00,00:15:00,0.25,00:30:00
MMOB,M3,1st,Wednesday,5,Stretham,Meadowcroft,CB6 3JY,monthly,551492.63,274452.85,13:50:00,14:15:00,00:25:00,00:25:00,0.42,00:05:00
MMOB,M3,1st,Wednesday,6,Stretham,Hazel Court,CB6 3LY,monthly,551379.59,274759.41,14:20:00,14:40:00,00:20:00,00:20:00,0.33,00:05:00
MMOB,M3,1st,Wednesday,7,Mepal,Post Office,CB6 2AW,monthly,544244.9,280830.53,15:15:00,16:00:00,00:45:00,00:45:00,0.75,00:35:00
MMOB,M4,1st ,Thursday,1,Murrow,School,PE13 4HD,monthly,537440.67,306477.74,10:00:00,10:40:00,00:40:00,00:40:00,0.67,18:00:00
MMOB,M4,1st ,Thursday,2,Parson Drove,Payne School,PE13 4JD,monthly,537073,308535,10:50:00,12:15:00,01:25:00,01:25:00,1.42,00:10:00
MMOB,M4,1st ,Thursday,3,Murrow,"Front Road, Paddocks",PE13 4JQ,monthly,537417.97,306981.25,12:25:00,12:40:00,00:15:00,00:15:00,0.25,00:10:00
MMOB,M4,1st ,Thursday,4,Wimblington,King Street,PE15 0QF,monthly,541681.51,292525.09,14:25:00,14:45:00,00:20:00,00:20:00,0.33,01:45:00
MMOB,M4,1st ,Thursday,5,Doddington,26 Newgate,PE15 0SR,monthly,539629.62,290390.12,14:55:00,15:10:00,00:15:00,00:15:00,0.25,00:10:00
MMOB,M4,1st ,Thursday,6,Doddington,Clock Tower,PE15 0TG,monthly,540057.25,290771.64,15:20:00,15:50:00,00:30:00,00:30:00,0.50,00:10:00
MMOB,M4,1st ,Thursday,7,Doddington,Child Lane,PE15 0TG,monthly,540375.12,290778.43,16:00:00,16:20:00,00:20:00,00:20:00,0.33,00:10:00
MMOB,M5,1st,Friday,1,Whittlesey,St Mary’s House,PE7 1BG,monthly,526845.42,297345.45,09:45:00,10:15:00,00:30:00,00:30:00,0.50,17:25:00
MMOB,M5,1st,Friday,2,Whittlesey,Sudbury Court,PE7 1RY,monthly,526722.46,297690.25,10:20:00,10:45:00,00:25:00,00:25:00,0.42,00:05:00
MMOB,M5,1st,Friday,3,Whittlesey,Palmers Court,PE7 1TA,monthly,527697.57,296725.1,10:55:00,11:15:00,00:20:00,00:20:00,0.33,00:10:00
MMOB,M5,1st,Friday,4,Coldham,Lay-by,PE14 0ND,monthly,543476.15,302873.9,11:45:00,12:00:00,00:15:00,00:15:00,0.25,00:30:00
MMOB,M5,1st,Friday,5,Friday Bridge,"17 Mill Way, off The Stitch",PE14 0HZ,monthly,547130.27,305180.33,12:15:00,12:35:00,00:20:00,00:20:00,0.33,00:15:00
MMOB,M5,1st,Friday,6,Friday Bridge,The School,PE14 0HG,monthly,546517.13,304682.84,13:30:00,14:15:00,00:45:00,00:45:00,0.75,00:55:00
MMOB,M5,1st,Friday,7,Elm,31 Friday Bridge Road,PE14 0AS,monthly,546929.83,306273.44,14:25:00,14:50:00,00:25:00,00:25:00,0.42,00:10:00
MMOB,M5,1st,Friday,8,Elm,The Dale,PE14 0BP,monthly,546705.07,306891.91,15:00:00,15:15:00,00:15:00,00:15:00,0.25,00:10:00
MMOB,M5,1st,Friday,9,Elm,Roseberry Road,PE14 0AN,monthly,547100.44,306359.17,15:20:00,15:45:00,00:25:00,00:25:00,0.42,00:05:00
MMOB,M5,1st,Friday,10,Elm,Church Hall,PE14 0AF,monthly,547008.49,306974.6,15:50:00,16:10:00,00:20:00,00:20:00,0.33,00:05:00
MMOB,M9,2nd & 4th,Tuesday,1,Sutton,Brooklands Centre,CB6 2QQ,twice monthly,544184.33,279033.29,10:00:00,12:00:00,02:00:00,02:00:00,2.00,17:50:00
MMOB,M9,2nd,Tuesday,2,Stuntney,Nr Social Centre,CB7 5TL,monthly,555592.03,278043.69,12:30:00,13:00:00,00:30:00,00:30:00,0.50,00:30:00
MMOB,M9,2nd,Tuesday,3,Little Thetford,Church,CB6 3HA,monthly,553145.08,276310.8,14:00:00,14:15:00,00:15:00,00:15:00,0.25,01:00:00
MMOB,M9,2nd & 4th,Tuesday,4,Witchford,West End,CB6 2HP,twice monthly,549605.64,278796.82,14:45:00,15:20:00,00:20:00,00:20:00,0.33,00:30:00
MMOB,M9,2nd & 4th,Tuesday,5,Witchford,Victoria Gardens,CB6 2XB,twice monthly,549902.4,278907.84,15:25:00,16:00:00,00:45:00,00:45:00,0.75,00:05:00
MMOB,M10,2nd,Wednesday,1,Wisbech,Rose Lodge ,PE13 3EP,monthly,547078.14,311095.94,10:25:00,10:55:00,00:30:00,00:30:00,0.50,18:25:00
MMOB,M10,2nd,Wednesday,2,Wisbech,Oasis Centre,PE13 3NR,monthly,546592.3,310946.89,11:00:00,12:00:00,01:00:00,01:00:00,1.00,00:05:00
MMOB,M10,2nd,Wednesday,3,Wisbech,Orchard House,PE13 2JF,monthly,546911,309146,13:30:00,14:00:00,00:30:00,00:30:00,0.50,#REF!
MMOB,M10,2nd,Wednesday,4,Wisbech,Edina Court,PE13 1RL,monthly,545534.1,309938.71,14:15:00,14:45:00,00:30:00,00:30:00,0.50,00:15:00
MMOB,M10,2nd,Wednesday,5,Wisbech,Fenland Village,PE13 3JY,monthly,546012.29,311205.23,15:00:00,15:30:00,00:30:00,00:30:00,0.50,00:15:00
MMOB,M10,2nd,Wednesday,6,Wisbech,Osborne Park,PE13 3JY,monthly,545936.6,311272.3,15:35:00,16:00:00,00:25:00,00:25:00,0.42,00:05:00
MMOB,M11,2nd,Thursday,1,Benwick,Chapel Gardens,PE15 0XH,monthly,534261.83,290372.98,10:05:00,10:25:00,00:20:00,00:20:00,0.33,18:05:00
MMOB,M11,2nd,Thursday,2,Benwick,Village Hall,PE15 0XH,monthly,534310.28,290133.41,10:30:00,10:45:00,00:15:00,00:15:00,0.25,00:05:00
MMOB,M11,2nd,Thursday,3,Ramsey Forty Foot,Phone Box,PE26 2XN,monthly,530657.64,287886.2,11:00:00,11:15:00,00:15:00,00:15:00,0.25,00:15:00
MMOB,M11,2nd,Thursday,4,Ramsey,Mill House,PE17 1EP,monthly,528928.06,285291.42,11:30:00,11:55:00,00:25:00,00:25:00,0.42,00:15:00
MMOB,M11,2nd,Thursday,5,Abbots Ripton,School,PE28 2LT,monthly,523071.22,278129.31,13:30:00,14:00:00,00:30:00,00:30:00,0.50,01:35:00
MMOB,M11,2nd,Thursday,6,Wood Walton,Public House/ New Road,PE28 2AG,monthly,521439.33,280873.14,14:15:00,14:30:00,00:15:00,00:15:00,0.25,00:15:00
MMOB,M11,2nd,Thursday,7,Conington,"Lay-by, Church Road.",PE7 3QL,monthly,517532.71,285895.7,14:45:00,15:10:00,00:25:00,00:25:00,0.42,00:15:00
MMOB,M11,2nd,Thursday,8,Holme,Holmewood,PE7 3PG,monthly,518603.9,287755.45,15:20:00,15:45:00,00:25:00,00:25:00,0.42,00:10:00
MMOB,M12/26,2nd & 4th,Friday,1,Rings End,March Road,PE13 4DA,twice monthly,539796.11,302458.87,09:45:00,10:05:00,00:20:00,00:20:00,0.33,18:00:00
MMOB,M12/26,2nd & 4th,Friday,2,Bunkers Hill,Lay-by,PE13 4SQ,twice monthly,540775.1,307104.76,10:15:00,10:35:00,00:20:00,00:20:00,0.33,00:10:00
MMOB,M12/26,2nd & 4th,Friday,3,Wisbech St Mary,Church Road,PE13 4RY,twice monthly,542060.72,308163.59,10:45:00,11:25:00,00:40:00,00:40:00,0.67,00:10:00
MMOB,M12/26,2nd & 4th,Friday,4,Leverington,Dowgate Road,PE13 5DJ,twice monthly,544948.76,310647.64,11:40:00,11:55:00,00:15:00,00:15:00,0.25,00:15:00
MMOB,M12/26,2nd & 4th,Friday,5,Leverington Common,Pear Tree Crescent,PE13 5AY,twice monthly,544016.43,310755.54,12:00:00,12:15:00,00:15:00,00:15:00,0.25,00:05:00
MMOB,M12/26,2nd & 4th,Friday,6,Leverington,Richmond Way,PE13 5JX,twice monthly,544221.64,311663.43,13:35:00,14:00:00,00:25:00,00:25:00,0.42,01:20:00
MMOB,M12/26,2nd & 4th,Friday,7,Leverington,Popes Lane,PE13 5BD,twice monthly,543832.08,311784.78,14:05:00,14:25:00,00:20:00,00:20:00,0.33,00:05:00
MMOB,M12/26,2nd & 4th,Friday,8,Wisbech St Mary,Cannon Close,PE13 4RD,twice monthly,541720.05,307925.77,14:40:00,15:45:00,01:05:00,01:05:00,1.08,00:15:00
MMOB,M12/26,2nd & 4th,Friday,9,Guyhirn,Chapelfield,PE13 4EE,twice monthly,540176.65,303962.28,16:00:00,16:15:00,00:15:00,00:15:00,0.25,00:15:00
MMOB,M16,3rd,Tuesday,1,Upwood,Public House,PE26 2QE,monthly,525939.81,282757.43,09:35:00,10:00:00,00:25:00,00:25:00,0.42,17:20:00
MMOB,M16,3rd,Tuesday,2,Great Raveley,Spindlewood Lodge ,PE28 2QX,monthly,525296,281352,10:05:00,10:15:00,00:10:00,00:10:00,0.17,00:05:00
MMOB,M16,3rd,Tuesday,3,Wistow,T junction,PE28 2QA,monthly,527821.32,281055.79,10:30:00,10:45:00,00:15:00,00:15:00,0.25,00:15:00
MMOB,M16,3rd,Tuesday,4,Ramsey Heights,Council Houses,PE26 2RJ,monthly,525323.6,285685.73,11:00:00,11:25:00,00:25:00,00:25:00,0.42,00:15:00
MMOB,M16,3rd,Tuesday,5,Ramsey St Mary’s,School,PE26 2TG,monthly,525574.79,288498.2,11:30:00,12:15:00,00:45:00,00:45:00,0.75,00:05:00
MMOB,M16,3rd,Tuesday,6,Ramsey Mereside,Marriots Drove,PE26 2TY,monthly,528426.45,289280.17,12:25:00,12:55:00,00:30:00,00:30:00,0.50,00:10:00
MMOB,M16,3rd,Tuesday,7,Farcet,School,PE7 3AR,monthly,520468,294725,14:45:00,15:30:00,00:45:00,00:45:00,0.75,01:50:00
MMOB,M16,3rd,Tuesday,8,Farcet,Main Street,PE7 3DB,monthly,520429.96,294583.47,15:40:00,16:15:00,00:35:00,00:35:00,0.58,00:10:00
MMOB,M17,3rd,Wednesday,1,Tydd St Giles,Hockland Road,PE13 5LF,monthly,542616.1,315935.23,10:15:00,11:10:00,00:55:00,00:55:00,0.92,18:00:00
MMOB,M17,3rd,Wednesday,2,Tydd St Giles,Kinderley School,PE13 5LG,monthly,542461.21,316636.62,11:15:00,12:00:00,00:45:00,00:45:00,0.75,00:05:00
MMOB,M17,3rd,Wednesday,3,Newton (Fenland),Goodens Lane,PE13 5HQ,monthly,543838.98,314729.9,12:15:00,12:35:00,00:20:00,00:20:00,0.33,00:15:00
MMOB,M17,3rd,Wednesday,4,Gorefield,School,PE13 4NB,monthly,541924.74,311918.31,14:45:00,15:40:00,00:55:00,00:55:00,0.92,02:10:00
MMOB,M17,3rd,Wednesday,5,Gorefield,Post Office Stores,PE13 4PG,monthly,541531.9,312057.16,15:45:00,16:00:00,00:15:00,00:15:00,0.25,00:05:00
MMOB,M17,3rd,Wednesday,6,Gorefield,Mill Height,PE13 4PJ,monthly,541132.83,312126.9,16:05:00,16:25:00,00:20:00,00:20:00,0.33,00:05:00
MMOB,M18,3rd,Thursday,1,Doddington,"Doddington Court, Sanctuary Housing.",PE15 0WD,monthly,539565,290941,12:45:00,13:15:00,00:30:00,00:30:00,0.50,20:20:00
MMOB,M18,3rd,Thursday,2,Chatteris,Lyons Court,PE16 6PB,monthly,539043.7,286400.4,13:30:00,14:00:00,00:30:00,00:30:00,0.50,00:15:00
MMOB,M18,3rd,Thursday,3,Chatteris,Quaker Way,PE16 6NJ,monthly,539046.37,285839.56,14:10:00,14:30:00,00:20:00,00:20:00,0.33,00:10:00
MMOB,M18,3rd,Thursday,4,Coates,The Green,PE7 2BJ,monthly,530779.51,297641.95,15:15:00,15:50:00,00:35:00,00:35:00,0.58,00:45:00
MMOB,M18,3rd,Thursday,5,Coates,Grounds Way,PE7 2BS,monthly,531063.01,297637.05,15:55:00,16:15:00,00:20:00,00:20:00,0.33,00:05:00
MMOB,M19,3rd,Friday,1,Littleport,Beach Court,CB6 1JG,monthly,556071.8,286886.53,10:40:00,11:10:00,00:30:00,00:30:00,0.50,18:25:00
MMOB,M19,3rd,Friday,2,Littleport,Anchor Court,CB6 1NL,monthly,557152.52,286608.62,11:20:00,11:40:00,00:20:00,00:20:00,0.33,00:10:00
MMOB,M19,3rd,Friday,3,Littleport,New Orchard Park,CB6 1LT,monthly,557424.08,286551.68,11:45:00,12:10:00,00:25:00,00:25:00,0.42,00:05:00
MMOB,M19,3rd,Friday,4,Black Horse Drove,Community Centre,CB6 1EG,monthly,559658.15,291617.17,12:30:00,12:50:00,00:20:00,00:20:00,0.33,00:20:00
MMOB,M19,3rd,Friday,5,Chettisham,The Hamlet,CB6 1SB,monthly,554815.8,283010.25,13:45:00,14:15:00,00:30:00,00:30:00,0.50,00:55:00
MMOB,M19,3rd,Friday,6,Pymoor,Main Street,CB6 2DY,monthly,549704.62,286312.79,14:30:00,14:45:00,00:15:00,00:15:00,0.25,00:15:00
MMOB,M19,3rd,Friday,7,Little Downham,Village Hall,CB6 2SX,monthly,552562.06,284116.77,15:00:00,15:45:00,00:45:00,00:45:00,0.75,00:15:00
MMOB,M23,2nd & 4th,Tuesday,1,Sutton,Brooklands Centre,CB6 2QQ,twice monthly,544184.33,279033.29,10:00:00,12:00:00,02:00:00,02:00:00,2.00,18:15:00
MMOB,M23,4th,Tuesday,2,Prickwillow,Old Phone box,CB7 4UN,monthly,559407,282456,12:35:00,12:55:00,00:20:00,00:20:00,0.33,00:35:00
MMOB,M23,4th,Tuesday,3,Queen Adeliade,Village,CB7 4SH,monthly,556382,281459,13:05:00,13:25:00,00:20:00,00:20:00,0.33,00:10:00
MMOB,M23,2nd & 4th,Tuesday,4,Witchford,West End,CB6 2HP,twice monthly,549605.64,278796.82,14:45:00,15:20:00,00:20:00,00:20:00,0.33,01:20:00
MMOB,M23,2nd & 4th,Tuesday,5,Witchford,Victoria Gardens,CB6 2XB,twice monthly,549902.4,278907.84,15:25:00,16:00:00,00:45:00,00:45:00,0.75,00:05:00
MMOB,M24,4th,Wednesday,1,Stilton,Primary School,PE7 3RF,monthly,515957,289288,09:30:00,10:15:00,01:45:00,01:45:00,1.75,17:30:00
MMOB,M24,4th,Wednesday,2,Folksworth,Elm Rd [near No.57],PE7 3SX,monthly,514562.78,289655.51,10:30:00,10:50:00,00:20:00,00:20:00,0.33,00:15:00
MMOB,M24,4th,Wednesday,3,Stibbington,Roman Drive,PE8 6LL,monthly,508608,298733,11:10:00,11:30:00,00:20:00,00:20:00,0.33,00:20:00
MMOB,M24,4th,Wednesday,4,Elton,"Bus Stop, Middle St/Overend",PE8 6RY,monthly,508941.39,293762.88,11:45:00,12:15:00,00:30:00,00:30:00,0.50,00:15:00
MMOB,M24,4th,Wednesday,5,Chesterton,"Lay-by, 43 Oundle Way",PE7 3UA,monthly,512430.49,295140.46,13:50:00,14:05:00,00:15:00,00:15:00,0.25,01:35:00
MMOB,M24,4th,Wednesday,6,Alwalton,Lay by,PE7 3GA,monthly,513507,295805,14:10:00,14:50:00,00:40:00,00:40:00,0.67,00:05:00
MMOB,M24,4th,Wednesday,7,Stilton,The Talbot,PE7 3RA,monthly,516250.45,289371.4,15:10:00,16:00:00,00:50:00,00:50:00,0.83,00:20:00
MMOB,M25,4th,Thursday,1,Molesworth,Telephone Kiosk,PE28 0QF,monthly,507425.57,275864.65,11:15:00,11:40:00,00:25:00,00:25:00,0.42,19:15:00
MMOB,M25,4th,Thursday,2,Bythorn,"Old School, School Lane.",PE28 0QS,monthly,505781,275857,11:50:00,12:05:00,00:15:00,00:15:00,0.25,00:10:00
MMOB,M25,4th,Thursday,3,Brington,Church Lane,PE28 5AE,monthly,508367.98,275688.58,12:15:00,12:40:00,00:25:00,00:25:00,0.42,00:10:00
MMOB,M25,4th,Thursday,4,Old Weston,Village Hall car park.,PE28 5LL,monthly,509984.9,277471.15,13:35:00,14:00:00,00:25:00,00:25:00,0.42,00:55:00
MMOB,M25,4th,Thursday,5,Leighton Bromswold,The Avenue,PE28 5AW,monthly,511297.43,275442.97,14:10:00,14:25:00,00:15:00,00:15:00,0.25,00:10:00
MMOB,M25,4th,Thursday,6,Buckworth,"Bus Shelter, Barham Road.",PE28 5AN,monthly,514771.53,276704.27,14:40:00,15:00:00,00:20:00,00:20:00,0.33,00:15:00
MMOB,M12/26,2nd & 4th,Friday,1,Rings End,March Road,PE13 4DA,twice monthly,539796.11,302458.87,09:45:00,10:05:00,00:20:00,00:20:00,0.33,18:45:00
MMOB,M12/26,2nd & 4th,Friday,2,Bunkers Hill,Lay-by,PE13 4SQ,twice monthly,540775.1,307104.76,10:15:00,10:35:00,00:20:00,00:20:00,0.33,00:10:00
MMOB,M12/26,2nd & 4th,Friday,3,Wisbech St Mary,Church Road,PE13 4RY,twice monthly,542060.72,308163.59,10:45:00,11:25:00,00:40:00,00:40:00,0.67,00:10:00
MMOB,M12/26,2nd & 4th,Friday,4,Leverington,Dowgate Road,PE13 5DJ,twice monthly,544948.76,310647.64,11:40:00,11:55:00,00:15:00,00:15:00,0.25,00:15:00
MMOB,M12/26,2nd & 4th,Friday,5,Leverington Common,Pear Tree Crescent,PE13 5AY,twice monthly,544016.43,310755.54,12:00:00,12:15:00,00:15:00,00:15:00,0.25,00:05:00
MMOB,M12/26,2nd & 4th,Friday,6,Leverington,Richmond Way,PE13 5JX,twice monthly,544221.64,311663.43,13:35:00,14:00:00,00:25:00,00:25:00,0.42,01:20:00
MMOB,M12/26,2nd & 4th,Friday,7,Leverington,Popes Lane,PE13 5BD,twice monthly,543832.08,311784.78,14:05:00,14:25:00,00:20:00,00:20:00,0.33,00:05:00
MMOB,M12/26,2nd & 4th,Friday,8,Wisbech St Mary,Cannon Close,PE13 4RD,twice monthly,541720.05,307925.77,14:40:00,15:45:00,01:05:00,01:05:00,1.08,00:15:00
MMOB,M12/26,2nd & 4th,Friday,9,Guyhirn,Chapelfield,PE13 4EE,twice monthly,540176.65,303962.28,16:00:00,16:15:00,00:15:00,00:15:00,0.25,00:15:00
