Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
Residential homes,Wednesday Week 3,Salisbury,Gloucester House,"Gloucester House, Salisbury",2020-11-25,Wednesday,4,10:30,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/104
Residential homes,Wednesday Week 4,Salisbury,Hardy House,"Hardy House, Salisbury",2020-12-02,Wednesday,4,11:05,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/111
Residential homes,Wednesday Week 2,Salisbury,Harnham Croft,"Harnham Croft, Salisbury",2020-11-18,Wednesday,4,12:00,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 4,Salisbury,Laverstock Care Centre,"Laverstock Care Centre, Salisbury",2020-12-02,Wednesday,4,10:20,10:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/111
Residential homes,Wednesday Week 2,Salisbury,Milford House,"Milford House, Salisbury",2020-11-18,Wednesday,4,10:40,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 4,Salisbury,Philip Court,"Philip Court, Salisbury",2020-12-02,Wednesday,4,09:30,09:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/111
Residential homes,Wednesday Week 1,Salisbury,Robert Stokes Almshouse,"Robert Stokes Almshouse, Salisbury",2020-12-09,Wednesday,4,10:40,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/90
Residential homes,Wednesday Week 2,Salisbury,Salisbury Manor,"Salisbury Manor, Salisbury",2020-11-18,Wednesday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 2,Salisbury,St. Andrews,"St. Andrews, Salisbury",2020-11-18,Wednesday,4,10:10,10:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 3,Salisbury,St. Mark's House,"St. Mark's House, Salisbury",2020-11-25,Wednesday,4,11:40,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/104
Residential homes,Wednesday Week 1,Salisbury,St. Nicholas,"St. Nicholas, Salisbury",2020-12-09,Wednesday,4,11:10,11:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/90
Residential homes,Wednesday Week 2,Salisbury,Tower House,"Tower House, Salisbury",2020-11-18,Wednesday,4,11:30,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 3,Sarum,Avonbourne Centre,"Avonbourne Centre, Sarum",2020-11-25,Wednesday,4,10:05,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/104
North,Friday Week 4,Savernake,School,"School, Savernake",2020-12-04,Friday,4,10:00,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Friday Week 2,Savernake,The Warren,"The Warren, Savernake",2020-11-20,Friday,4,10:00,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
North,Friday Week 4,Savernake,The Warren,"The Warren, Savernake",2020-12-04,Friday,4,10:35,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
Residential homes,Thursday Week 1,Sedgehill,Hays Park,"Hays Park, Sedgehill",2020-12-10,Thursday,4,10:30,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/91
North,Monday Week 1,Seend,The Lye,"The Lye, Seend",2020-12-07,Monday,4,09:40,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Monday Week 1,Seend Cleeve,Telephone box,"Telephone box, Seend Cleeve",2020-12-07,Monday,4,10:05,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Wednesday Week 4,Semington,Littlemarsh,"Littlemarsh, Semington",2020-12-02,Wednesday,4,10:30,10:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Wednesday Week 2,Semington,Village Hall,"Village Hall, Semington",2020-11-18,Wednesday,4,10:30,10:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Friday Week 4,Shalbourne,Kingston Road,"Kingston Road, Shalbourne",2020-12-04,Friday,4,14:15,14:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Friday Week 4,Shalbourne,The Plough,"The Plough, Shalbourne",2020-12-04,Friday,4,13:25,14:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
Residential homes,Friday Week 2,Shaw,Mavern House,"Mavern House, Shaw",2020-11-20,Friday,4,12:15,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/99
North,Saturday Week 1,Sherston,High Street,"High Street, Sherston",2020-12-12,Saturday,4,10:30,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/6
North,Saturday Week 3,Sherston,High Street,"High Street, Sherston",2020-11-28,Saturday,4,10:30,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/21
South,Wednesday Week 1,Shrewton,Hindes Meadow,"Hindes Meadow, Shrewton",2020-12-09,Wednesday,4,13:30,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Shrewton,Hindes Meadow,"Hindes Meadow, Shrewton",2020-11-25,Wednesday,4,13:30,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
South,Wednesday Week 1,Shrewton,Maddington Church Rooms,"Maddington Church Rooms, Shrewton",2020-12-09,Wednesday,4,14:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Shrewton,Maddington Church Rooms,"Maddington Church Rooms, Shrewton",2020-11-25,Wednesday,4,14:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
South,Saturday Week 1,South Newton,Vale View Road,"Vale View Road, South Newton",2020-12-12,Saturday,4,15:45,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Saturday Week 3,South Newton,Vale View Road,"Vale View Road, South Newton",2020-11-28,Saturday,4,15:45,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Monday Week 3,Spirthill,Naish House Farm,"Naish House Farm, Spirthill",2020-11-23,Monday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Thursday Week 2,Stanton St Bernard,Village Hall,"Village Hall, Stanton St Bernard",2020-11-19,Thursday,4,10:30,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Tuesday Week 4,Stanton St Quintin,School,"School, Stanton St Quintin",2020-12-01,Tuesday,4,13:35,14:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Wednesday Week 2,Steeple Ashton,Longs Arms pub,"Longs Arms pub, Steeple Ashton",2020-11-18,Wednesday,4,11:00,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 4,Steeple Ashton,Longs Arms pub,"Longs Arms pub, Steeple Ashton",2020-12-02,Wednesday,4,11:00,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
Residential homes,Wednesday Week 4,Steeple Langford,Edgars Close,"Edgars Close, Steeple Langford",2020-12-02,Wednesday,4,11:45,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/111
North,Monday Week 3,Stockley,Telephone box,"Telephone box, Stockley",2020-11-23,Monday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Wednesday Week 1,Stratford-sub-Castle,Castle Keep,"Castle Keep, Stratford-sub-Castle",2020-12-09,Wednesday,4,10:55,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Stratford-sub-Castle,Castle Keep,"Castle Keep, Stratford-sub-Castle",2020-11-25,Wednesday,4,10:55,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
North,Thursday Week 1,Sutton Benger,Bell Piece,"Bell Piece, Sutton Benger",2020-12-10,Thursday,4,14:55,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Friday Week 4,Sutton Veny,School,"School, Sutton Veny",2020-12-04,Friday,4,09:45,10:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
Residential homes,Thursday Week 1,Sutton Veny,Sutton Veny House,"Sutton Veny House, Sutton Veny",2020-12-10,Thursday,4,09:10,09:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/91
South,Tuesday Week 4,Teffont,Lay-by opposite Frith’s Barn,"Lay-by opposite Frith’s Barn, Teffont",2020-12-01,Tuesday,4,14:20,14:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
South,Friday Week 4,Tilshead,Near the Church,"Near the Church, Tilshead",2020-12-04,Friday,4,11:30,11:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
Residential homes,Thursday Week 1,Tisbury,Nadder Close,"Nadder Close, Tisbury",2020-12-10,Thursday,4,09:55,10:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/91
North,Tuesday Week 1,Tockenham,Church,"Church, Tockenham",2020-12-08,Tuesday,4,09:45,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
South,Tuesday Week 2,Tollard Royal,The Pond,"The Pond, Tollard Royal",2020-11-17,Tuesday,4,15:10,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
Residential homes,Thursday Week 2,Trowbridge,Avondown Court,"Avondown Court, Trowbridge",2020-11-19,Thursday,4,11:30,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Thursday Week 2,Trowbridge,Charlotte Court,"Charlotte Court, Trowbridge",2020-11-19,Thursday,4,11:55,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Friday Week 1,Trowbridge,Florence Court,"Florence Court, Trowbridge",2020-12-11,Friday,4,13:30,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Thursday Week 2,Trowbridge,Grove Court,"Grove Court, Trowbridge",2020-11-19,Thursday,4,09:50,10:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Thursday Week 2,Trowbridge,Manor Court,"Manor Court, Trowbridge",2020-11-19,Thursday,4,10:35,10:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Thursday Week 2,Trowbridge,Maple Grove,"Maple Grove, Trowbridge",2020-11-19,Thursday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Friday Week 1,Trowbridge,Old Vicarage,"Old Vicarage, Trowbridge",2020-12-11,Friday,4,10:00,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Thursday Week 2,Trowbridge,Romney House,"Romney House, Trowbridge",2020-11-19,Thursday,4,11:00,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Friday Week 1,Trowbridge,Staverton House,"Staverton House, Trowbridge",2020-12-11,Friday,4,09:45,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Thursday Week 2,Trowbridge,Teazle Court,"Teazle Court, Trowbridge",2020-11-19,Thursday,4,13:05,13:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Thursday Week 2,Trowbridge,The Homestead,"The Homestead, Trowbridge",2020-11-19,Thursday,4,09:20,09:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Friday Week 1,Trowbridge,Trowbridge Oaks,"Trowbridge Oaks, Trowbridge",2020-12-11,Friday,4,09:10,09:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Thursday Week 2,Trowbridge,Weavers Drive,"Weavers Drive, Trowbridge",2020-11-19,Thursday,4,13:30,13:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Friday Week 1,Trowbridge,Wingfield Lodge and Memory Lane,"Wingfield Lodge and Memory Lane, Trowbridge",2020-12-11,Friday,4,12:45,13:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
South,Monday Week 3,Upavon,Nursery,"Nursery, Upavon",2020-11-23,Monday,4,10:00,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
North,Tuesday Week 1,Upper Minety,Hovington Leaze,"Hovington Leaze, Upper Minety",2020-12-08,Tuesday,4,13:15,13:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Friday Week 1,Upper Seagry,Recreation Ground,"Recreation Ground, Upper Seagry",2020-12-11,Friday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Wednesday Week 1,Upper Wraxall,The Green,"The Green, Upper Wraxall",2020-12-09,Wednesday,4,16:00,16:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 3,Upper Wraxall,The Green,"The Green, Upper Wraxall",2020-11-25,Wednesday,4,16:00,16:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Friday Week 4,Upton Lovell,14a The Bungalow,"14a The Bungalow, Upton Lovell",2020-12-04,Friday,4,13:55,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Thursday Week 2,Urchfont,The Croft,"The Croft, Urchfont",2020-11-19,Thursday,4,14:10,14:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 2,Urchfont,The Green,"The Green, Urchfont",2020-11-19,Thursday,4,14:45,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 4,Urchfont,The Green,"The Green, Urchfont",2020-12-03,Thursday,4,14:45,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
North,Saturday Week 4,Wadswick,Wadswick Green,"Wadswick Green, Wadswick",2020-12-05,Saturday,4,13:30,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
Residential homes,Thursday Week 1,Warminster,Fleurs Court,"Fleurs Court, Warminster",2020-12-10,Thursday,4,13:00,13:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/91
Residential homes,Friday Week 3,Warminster,Frederick Taylor Court,"Frederick Taylor Court, Warminster",2020-11-27,Friday,4,11:30,11:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
South,Monday Week 3,Wedhampton,22-23 High Street,"22-23 High Street, Wedhampton",2020-11-23,Monday,4,10:50,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
North,Thursday Week 3,West Ashton,Orchard Close,"Orchard Close, West Ashton",2020-11-26,Thursday,4,15:30,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Thursday Week 1,West Dean,Village Hall,"Village Hall, West Dean",2020-12-10,Thursday,4,14:45,15:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Thursday Week 1,West Grimstead,Greenfields,"Greenfields, West Grimstead",2020-12-10,Thursday,4,15:25,15:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 1,West Harnham,Berkshire Road,"Berkshire Road, West Harnham",2020-12-12,Saturday,4,14:10,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Wednesday Week 4,West Lavington,School,"School, West Lavington",2020-12-02,Wednesday,4,11:00,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Tuesday Week 3,West Overton,Peacocks,"Peacocks, West Overton",2020-11-24,Tuesday,4,11:25,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
Residential homes,Friday Week 3,Westbury,Bell Orchard,"Bell Orchard, Westbury",2020-11-27,Friday,4,09:30,09:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
Residential homes,Friday Week 3,Westbury,Chantry Court,"Chantry Court, Westbury",2020-11-27,Friday,4,10:15,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
Residential homes,Friday Week 3,Westbury,The Westbury,"The Westbury, Westbury",2020-11-27,Friday,4,10:55,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
Residential homes,Friday Week 3,Westbury,Watersmead,"Watersmead, Westbury",2020-11-27,Friday,4,09:10,09:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
Residential homes,Friday Week 3,Westbury,Westbury Court,"Westbury Court, Westbury",2020-11-27,Friday,4,09:50,10:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
South,Thursday Week 1,Whiteparish,Ashmore Close,"Ashmore Close, Whiteparish",2020-12-10,Thursday,4,10:40,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 2,Whiteparish,Ashmore Close,"Ashmore Close, Whiteparish",2020-11-21,Saturday,4,12:05,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
South,Saturday Week 4,Whiteparish,Ashmore Close,"Ashmore Close, Whiteparish",2020-12-05,Saturday,4,12:05,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
South,Thursday Week 1,Whiteparish,School,"School, Whiteparish",2020-12-10,Thursday,4,11:15,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
North,Tuesday Week 2,Whitley,Reading Rooms,"Reading Rooms, Whitley",2020-11-17,Tuesday,4,11:15,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
South,Monday Week 1,Wilsford,Outside Lamberts,"Outside Lamberts, Wilsford",2020-12-07,Monday,4,10:45,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
Residential homes,Wednesday Week 1,Wilton,Downside,"Downside, Wilton",2020-12-09,Wednesday,4,12:20,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/90
North,Thursday Week 3,Wingfield,The Poplars Inn,"The Poplars Inn, Wingfield",2020-11-26,Thursday,4,13:30,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Thursday Week 3,Winsley,Avonpark Retirement Village,"Avonpark Retirement Village, Winsley",2020-11-26,Thursday,4,10:40,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Thursday Week 3,Winsley,School,"School, Winsley",2020-11-26,Thursday,4,11:20,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Friday Week 1,Winterbourne Earls,Earls Manor Court,"Earls Manor Court, Winterbourne Earls",2020-12-11,Friday,4,14:00,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,Winterbourne Earls,Earls Manor Court,"Earls Manor Court, Winterbourne Earls",2020-11-27,Friday,4,14:00,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Friday Week 1,Winterbourne Earls,Glebe Hall,"Glebe Hall, Winterbourne Earls",2020-12-11,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,Winterbourne Earls,Glebe Hall,"Glebe Hall, Winterbourne Earls",2020-11-27,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Tuesday Week 1,Winterslow,Village Hall,"Village Hall, Winterslow",2020-12-08,Tuesday,4,13:30,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Tuesday Week 3,Winterslow,Village Hall,"Village Hall, Winterslow",2020-11-24,Tuesday,4,13:30,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Monday Week 1,Woodborough,Social Club Car Park,"Social Club Car Park, Woodborough",2020-12-07,Monday,4,14:25,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
South,Monday Week 3,Woodborough,Social Club Car Park,"Social Club Car Park, Woodborough",2020-11-23,Monday,4,14:25,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Saturday Week 3,Woodfalls,Opposite Post Office,"Opposite Post Office, Woodfalls",2020-11-28,Saturday,4,13:25,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
Residential homes,Tuesday Week 1,Wootton Bassett,Bassett House,"Bassett House, Wootton Bassett",2020-12-08,Tuesday,4,13:45,14:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/89
Residential homes,Tuesday Week 1,Wootton Bassett,Dairy View,"Dairy View, Wootton Bassett",2020-12-08,Tuesday,4,14:15,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/89
North,Monday Week 1,Worton,The School,"The School, Worton",2020-12-07,Monday,4,13:10,13:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Friday Week 4,Wylye,The Bell Pub,"The Bell Pub, Wylye",2020-12-04,Friday,4,14:30,15:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Monday Week 3,Yatesbury,The Lymers,"The Lymers, Yatesbury",2020-11-23,Monday,4,11:45,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Wednesday Week 3,Yatton Keynell,Village Hall,"Village Hall, Yatton Keynell",2020-11-25,Wednesday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Thursday Week 2,Zeals,43 Zeals Rise,"43 Zeals Rise, Zeals",2020-11-19,Thursday,4,10:50,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Zeals,43 Zeals Rise,"43 Zeals Rise, Zeals",2020-12-03,Thursday,4,10:50,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
South,Thursday Week 4,Zeals,School,"School, Zeals",2020-12-03,Thursday,4,10:00,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
